#SampleID	Sample	Run	Platform	RunDate	sampletype	controltype	cl	clone	treatment	birthday	mother	umother	box	sediment_bottle	extraction_day	extraction_round	pcr_batch	sedtype	seddate	behavior	cloneavgbehavior	clonerank	category	size	cloneavgsize	eggs	Description
D278_A	D278	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	G1	TREG1G1	29	N2	d2	2	p1	NA	NA	3.719497017	3.68	1	low	NA	2.721818182	1	p303_Alexandra_Mushegian
D278_B	D278	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	G1	TREG1G1	29	N2	d2	2	p1	NA	NA	3.719497017	3.68	1	low	NA	2.721818182	1	p303_Alexandra_Mushegian
D284_A	D284	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	G6	TREG1G6	18	N2	d2	3	p1	NA	NA	4.229707433	3.68	1	low	2.2	2.721818182	0	p303_Alexandra_Mushegian
D284_B	D284	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	G6	TREG1G6	18	N2	d2	3	p1	NA	NA	4.229707433	3.68	1	low	2.2	2.721818182	0	p303_Alexandra_Mushegian
D285_A	D285	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	G6	TREG1G6	43	N3	d2	2	p1	NA	NA	3.161068385	3.68	1	low	2.2	2.721818182	1	p303_Alexandra_Mushegian
D285_B	D285	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	G6	TREG1G6	43	N3	d2	2	p1	NA	NA	3.161068385	3.68	1	low	2.2	2.721818182	1	p303_Alexandra_Mushegian
D268_A	D268	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	30	J2	TREG1J2	32	A3	d3	4	p2	NA	NA	4.156033992	3.68	1	low	2.4	2.721818182	1	p303_Alexandra_Mushegian
D268_B	D268	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	30	J2	TREG1J2	32	A3	d3	4	p2	NA	NA	4.156033992	3.68	1	low	2.4	2.721818182	1	p303_Alexandra_Mushegian
D265_A	D265	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	30	J1	TREG1J1	31	A3	d5	8	p3	NA	NA	4.339590552	3.68	1	low	2.48	2.721818182	0	p303_Alexandra_Mushegian
D265_B	D265	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	30	J1	TREG1J1	31	A3	d5	8	p3	NA	NA	4.339590552	3.68	1	low	2.48	2.721818182	0	p303_Alexandra_Mushegian
D266_A	D266	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	J1	TREG1J1	3	N1	d3	4	p2	NA	NA	3.113274692	3.68	1	low	2.52	2.721818182	1	p303_Alexandra_Mushegian
D266_B	D266	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	30	J1	TREG1J1	3	N1	d3	4	p2	NA	NA	3.113274692	3.68	1	low	2.52	2.721818182	1	p303_Alexandra_Mushegian
D273_A	D273	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	J6	TREG1J6	26	N2	d6	9	p4	NA	NA	3.847757688	3.68	1	low	2.56	2.721818182	1	p303_Alexandra_Mushegian
D273_B	D273	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	J6	TREG1J6	26	N2	d6	9	p4	NA	NA	3.847757688	3.68	1	low	2.56	2.721818182	1	p303_Alexandra_Mushegian
D286_A	D286	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	J5	TREG1J5	39	A3	d5	7	p3	NA	NA	3	3.68	1	low	2.64	2.721818182	1	p303_Alexandra_Mushegian
D286_B	D286	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	J5	TREG1J5	39	A3	d5	7	p3	NA	NA	3	3.68	1	low	2.64	2.721818182	1	p303_Alexandra_Mushegian
D281_A	D281	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	G3	TREG1G3	5	N1	d6	9	p4	NA	NA	3	3.68	1	low	2.64	2.721818182	0	p303_Alexandra_Mushegian
D281_B	D281	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	NET	29	G3	TREG1G3	5	N1	d6	9	p4	NA	NA	3	3.68	1	low	2.64	2.721818182	0	p303_Alexandra_Mushegian
D282_A	D282	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	G3	TREG1G3	23	N2	d2	3	p1	NA	NA	4.355355723	3.68	1	low	2.64	2.721818182	0	p303_Alexandra_Mushegian
D282_B	D282	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	G3	TREG1G3	23	N2	d2	3	p1	NA	NA	4.355355723	3.68	1	low	2.64	2.721818182	0	p303_Alexandra_Mushegian
D280_A	D280	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	G3	TREG1G3	21	A1	d4	6	p2	NA	NA	3	3.68	1	low	2.68	2.721818182	1	p303_Alexandra_Mushegian
D280_B	D280	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	AUT	29	G3	TREG1G3	21	A1	d4	6	p2	NA	NA	3	3.68	1	low	2.68	2.721818182	1	p303_Alexandra_Mushegian
D276_A	D276	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	G5	TREG1G5	44	N4	d3	5	p2	NA	NA	4.593241749	3.68	1	low	2.68	2.721818182	1	p303_Alexandra_Mushegian
D276_B	D276	B	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	30	G5	TREG1G5	44	N4	d3	5	p2	NA	NA	4.593241749	3.68	1	low	2.68	2.721818182	1	p303_Alexandra_Mushegian
D288_A	D288	A	MiSeq_300	Run160208	animal	NA	TREG1	TR-EG-1	SED	29	J5	TREG1J5	24	N2	d2	2	p1	NA	NA	4.387265216	3.68	1	low	2.8	2.721818182	1	p303_Alexandra_Mushegian
